gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,59,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,90.07,5274.6,0
Female,0,No,No,19,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,45.71,827.26,0
Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,103.63,5413.55,0
Male,0,No,No,62,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),66.53,4133.36,1
Male,0,Yes,Yes,56,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),72.81,4076.27,0
Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),40.83,1097.84,0
Male,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,56.32,0.0,0
Female,0,Yes,Yes,58,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),23.16,1385.36,0
Male,0,No,No,63,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),75.73,4787.08,0
Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,92.89,6583.79,0
Female,0,No,No,70,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),72.35,5084.5,0
Male,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.65,2153.75,0
Male,0,No,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),101.47,4760.02,0
Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.76,328.82,0
Male,0,No,No,34,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),42.87,1410.66,0
Female,0,No,No,22,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,23.0,555.28,0
Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,57.3,2967.77,1
Male,0,No,Yes,44,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),43.04,1940.48,0
Male,0,No,No,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,86.26,1049.91,0
Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,25.86,896.3,0
Male,1,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.37,746.12,0
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,73.29,5103.09,0
Female,0,Yes,Yes,67,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),92.66,6198.93,0
Female,1,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),64.84,223.03,0
Male,1,Yes,No,39,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,46.13,1816.19,1
Male,1,No,No,69,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),67.86,4708.6,1
Male,0,Yes,No,20,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,51.83,1051.56,1
Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,47.62,1289.75,0
Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),62.72,157.08,0
Female,0,Yes,No,22,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,79.4,1765.41,0
Male,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,75.87,5398.62,0
Male,0,Yes,Yes,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.82,500.44,1
Male,0,No,Yes,49,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,39.83,1989.41,1
Male,0,No,Yes,57,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,18.7,1085.08,1
Female,1,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,61.82,1214.53,0
Female,0,Yes,Yes,71,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),95.01,6756.32,0
Male,0,Yes,Yes,52,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.43,3120.35,0
Male,0,No,No,8,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,117.93,981.88,0
Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),93.03,283.25,1
Female,0,No,Yes,40,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),55.49,2241.11,0
Female,0,No,Yes,24,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,115.32,2775.33,0
Female,1,No,Yes,33,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,82.07,2730.37,0
Male,0,Yes,No,72,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,109.94,7917.97,0
Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,26.73,243.84,1
Male,0,No,No,12,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.76,915.85,1
Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,108.84,825.37,1
Female,0,No,No,3,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,83.08,219.6,1
Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),116.82,3824.41,0
Female,0,Yes,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),117.58,687.72,0
Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),97.2,1358.44,0
Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),45.88,1721.06,0
Male,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,103.36,5251.41,0
Female,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),88.35,545.22,1
Female,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.63,1295.84,0
Male,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,56.77,3287.41,1
Female,0,Yes,Yes,20,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),105.45,2124.73,1
Female,0,Yes,Yes,27,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,88.78,2431.83,1
Male,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,60.74,143.97,0
Female,0,Yes,No,13,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),79.3,991.24,0
Female,1,No,Yes,1,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),111.68,76.85,0
Male,1,No,No,28,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),77.76,2135.5,1
Male,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),40.77,671.32,0
Male,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,84.94,3008.24,0
Female,0,No,No,44,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),44.62,1974.25,1
Male,0,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),79.9,3468.25,0
Male,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,82.46,1891.46,0
Male,0,No,No,45,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),54.15,2436.12,0
Male,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,92.07,1027.32,0
Male,1,Yes,No,52,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,47.29,2433.02,0
Male,0,Yes,Yes,44,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,19.47,893.46,0
Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,53.07,1645.59,0
Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,104.23,1790.92,0
Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,75.69,892.89,0
Male,0,No,No,3,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),102.94,285.52,1
Male,1,No,No,22,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,30.86,687.32,0
Female,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,37.3,2314.82,0
Female,0,No,No,53,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,34.46,1848.1,1
Female,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),96.51,5231.42,0
Female,1,No,Yes,68,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,79.22,5386.35,0
Female,0,Yes,No,39,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),51.64,1964.65,1
Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),96.06,1286.65,1
Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,61.54,1635.69,0
Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,79.56,5646.17,0
Female,0,Yes,Yes,70,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,103.47,7212.19,1
Male,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.52,4025.72,0
Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,93.23,2563.81,1
Male,0,No,No,60,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.56,4489.24,1
Male,1,No,No,67,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),108.77,7242.45,1
Female,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,63.55,550.22,0
Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,47.87,721.42,0
Male,0,No,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),44.94,2196.1,1
Female,0,No,No,62,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,37.08,2274.17,0
Male,1,Yes,No,45,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,53.65,2429.57,1
Female,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),61.43,750.85,0
Male,0,Yes,No,44,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,31.55,1423.37,0
Female,0,No,No,52,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,91.57,4751.92,0
Female,0,Yes,No,16,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,111.79,1791.56,1
Male,0,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),59.19,2711.27,1
Female,0,Yes,No,61,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.52,6757.27,0
Male,0,No,No,49,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,60.2,2930.87,0
Male,1,Yes,No,42,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),40.02,1694.86,0
Male,0,Yes,No,67,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,103.91,6987.3,1
Male,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,108.15,7641.64,0
Female,0,Yes,Yes,27,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),81.87,2198.46,1
Female,0,No,No,44,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,110.25,4804.5,0
Female,0,Yes,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,52.87,2073.89,0
Male,0,Yes,No,35,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.87,1700.24,0
Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.49,3332.23,0
Male,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),46.08,1153.91,0
Female,0,Yes,Yes,18,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),104.62,1894.32,1
Female,1,No,Yes,46,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),41.83,1908.12,0
Female,0,Yes,No,32,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),87.49,2826.92,1
Male,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),99.84,6590.25,1
Female,0,Yes,No,13,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,104.81,1326.38,1
Female,0,No,No,32,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.51,3703.95,0
Male,0,No,No,41,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),48.04,1932.24,0
Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),72.42,4682.53,1
Male,0,No,No,46,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,113.65,5214.1,1
Female,0,Yes,Yes,34,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,19.03,669.72,0
Male,0,Yes,No,31,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),79.53,2511.37,0
Male,0,No,No,54,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,32.96,1789.19,1
Female,0,No,Yes,53,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),62.02,3334.64,0
Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),26.41,1288.43,0
Male,0,No,Yes,58,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),51.64,2950.82,1
Male,0,Yes,Yes,71,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,87.16,6202.81,1
Male,0,Yes,No,13,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,99.17,1249.64,1
Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),74.13,1260.76,0
Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),61.62,3355.2,0
Female,0,No,No,55,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),52.25,2906.32,1
Male,0,No,No,48,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,108.69,5223.45,0
Male,0,Yes,No,59,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),37.76,2224.35,0
Female,0,Yes,No,52,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),86.41,4452.5,0
Female,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),32.08,2263.6,0
Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,107.96,564.35,1
Female,0,No,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,46.54,3200.28,0
Female,0,Yes,No,7,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,55.13,389.72,0
Female,0,No,Yes,14,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,36.32,483.84,1
Female,1,Yes,No,25,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),111.41,2774.05,1
Male,0,Yes,No,38,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.77,4066.7,0
Male,0,Yes,Yes,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),65.33,156.52,1
Female,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),21.01,1132.54,0
Male,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,108.45,975.43,0
Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),114.26,185.64,1
Male,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.0,1165.1,1
Female,0,Yes,Yes,21,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.87,1670.36,0
Female,0,No,No,66,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,113.58,7494.28,0
Male,0,No,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),87.65,5563.79,1
Female,1,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),69.62,1255.98,1
Male,0,No,Yes,61,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),52.21,3197.72,0
Male,1,Yes,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.0,5144.1,1
Male,0,No,Yes,12,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,116.77,1380.24,0
Male,0,No,No,15,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,81.92,1274.63,1
Female,0,No,No,15,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.47,997.72,0
Female,0,Yes,No,51,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,34.79,1821.31,0
Female,1,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),104.12,4116.08,0
Male,1,Yes,No,47,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,56.38,2651.83,0
Female,1,No,Yes,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.94,3592.61,0
Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),52.78,611.16,0
Female,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,30.08,75.51,0
Male,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,84.87,3576.12,0
Male,1,No,No,45,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),72.57,3256.81,1
Male,0,No,No,46,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,33.08,1489.6,1
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,100.95,5262.01,1
Female,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.26,1203.13,1
Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),62.29,2539.54,0
Female,1,No,Yes,2,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),67.67,167.49,1
Male,0,No,Yes,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,42.64,479.71,1
Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,68.21,1129.68,0
Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.78,843.17,1
Male,0,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,36.7,1571.52,1
Male,0,No,Yes,33,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),45.57,1470.78,0
Male,0,Yes,No,54,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,53.93,2957.4,0
Female,0,No,No,51,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),42.88,2182.04,0
Male,1,Yes,Yes,35,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,65.08,2232.38,1
Male,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,83.92,4462.09,1
Male,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.53,3007.78,1
Female,1,No,No,51,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),21.74,1124.43,0
Male,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),81.37,1482.87,0
Female,0,Yes,No,11,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,105.98,1120.77,1
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,30.46,342.38,1
Male,0,Yes,Yes,47,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),36.51,1704.63,1
Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.96,296.62,1
Female,1,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.85,2805.11,1
Male,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,47.57,2231.8,0
Male,0,Yes,No,66,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,63.6,4244.63,0
Female,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),87.96,2671.97,0
Female,0,No,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,61.29,455.96,1
Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,54.49,3273.87,0
Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,86.38,3718.29,0
Male,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),82.49,4053.07,1
Male,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.4,2101.92,0
Male,1,No,Yes,60,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,51.86,3064.97,1
Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,55.99,3020.59,0
Male,0,Yes,No,65,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),58.48,3772.33,0
Male,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.98,361.43,0
